Year,Month,Day,Magnitude,Location,Longitude,Latitude,Intensity,Hypocenter_Lat,Hypocenter_Lon,Hypocenter_Depth_km,Vs30_estimated,NERHP_class,Rrup [km],R [km],Rhyp [km],Rasp [km],Rasp max [km],Rasp pond slip [km],Period,Rp [km]
1751,5.0,24.0,8.5,Renca,-70.7054,-33.4031,6,-36.83,-73.03,35.49,-999.0,-999,200.52684542177835,201.62234647557383,436.661501436491,448.18947448442935,448.18947552605107,448.18947448442935,0,313.9823722223713
1751,5.0,24.0,8.5,Rere,-72.7272,-37.135,8,-36.83,-73.03,35.49,-999.0,-999,43.786847307933485,48.557624125103516,55.96436597277224,46.53286165083422,46.53286173017857,46.53286165083422,0,64.37800121119481
1751,5.0,24.0,8.5,San Felipe,-70.7277,-32.7516,6,-36.83,-73.03,35.49,-999.0,-999,266.06478403107934,266.89140893818865,500.31526847113673,512.8190248596426,512.8190257796385,512.8190248596426,0,391.42220312475854
1751,5.0,24.0,8.5,San Fernando,-70.992,-34.5869,6,-36.83,-73.03,35.49,666.0,-999,89.80999538703023,92.23009343443681,311.77247758711525,321.54864913076,321.54865017397526,321.54864913076,0,160.24194122913363
1751,5.0,24.0,8.5,San Francisco del Monte,-70.9889,-33.6804,7,-36.83,-73.03,35.49,-999.0,-999,165.63203118860656,166.95665491129753,397.2941469182704,409.1713821556278,409.171383014847,409.1713821556278,0,265.13464219172477
1751,5.0,24.0,8.5,San Francisco  de Parral,-72.6841,-36.9534,8,-36.83,-73.03,35.49,-999.0,-999,44.332520572811404,49.05025223019042,48.966650198666464,45.36617425933535,45.366174377091134,45.36617425933535,0,64.53808216636645
1751,5.0,24.0,8.5,San Jose de la Mocha,-73.0516,-36.845,8,-36.83,-73.03,35.49,-999.0,-999,33.45443340333948,39.49372073944198,35.58122211715817,42.761007188302386,42.76100720883357,42.761007188302386,0,51.93173118418176
1751,5.0,24.0,8.5,Santa Ana de Pelco,-72.7509,-36.947,8,-36.83,-73.03,35.49,-999.0,-999,42.359487914894295,47.274528870403664,45.24500851974798,42.67869305973747,42.6786931291881,42.67869305973747,0,62.14168097692274
1751,5.0,24.0,8.5,Santa Juana,-72.9454,-37.1767,8,-36.83,-73.03,35.49,-999.0,-999,37.52738391383441,42.99836516569986,52.883283802642104,44.322357146258504,44.32235714639305,44.322357146258504,0,57.54751170140747
1751,5.0,24.0,8.5,Santiago,-70.6505,-33.4382,6,-36.83,-73.03,35.49,412.0,-999,198.8692751714329,199.97385696814885,435.72129924129905,447.03657630977074,447.0365774040298,447.03657630977074,0,312.8624500371749
1751,5.0,24.0,8.5,Talca,-71.6485,-35.4265,8,-36.83,-73.03,35.49,-999.0,-999,58.76482538002864,62.40079779499467,202.42441209726204,212.02695057915943,212.0269512484769,212.02695057915943,0,88.62747104199553
1751,5.0,24.0,8.5,Talcahuano,-73.1114,-36.7197,8,-36.83,-73.03,35.49,-999.0,-999,31.486473755904484,37.841153432312495,38.23838260751466,50.774106491823495,50.7741065344653,50.774106491823495,0,49.52911775773916
1751,5.0,24.0,8.5,Talcamavida,-72.9109,-37.1623,8,-36.83,-73.03,35.49,-999.0,-999,38.46494049167565,43.81901996319295,52.2677099571988,43.681448388351136,43.68144939691061,43.681448388351136,0,58.490986448799916
1751,5.0,24.0,8.5,Tomenelo,-72.2048,-36.0066,8,-36.83,-73.03,35.49,-999.0,-999,50.10244981810437,54.321361739947385,122.82081556143923,132.88765373202884,132.88765407043735,132.88765373202884,0,73.47829736951671
1751,5.0,24.0,8.5,Valdivia,-73.2362,-39.8272,6,-36.83,-73.03,35.49,274.0,-999,100.39127300397836,102.56199373484247,335.07017583820715,319.0635714160602,319.0635714336838,319.0635714160602,0,169.64082021127655
1751,5.0,24.0,8.5,Valparaiso,-71.6031,-33.0473,7,-36.83,-73.03,35.49,278.0,-999,223.10641069534785,224.09155574645774,440.8445377017156,455.17711409924954,455.17711447401575,455.17711409924954,0,324.96251962271083
1751,5.0,24.0,8.5,Vichuquen,-72.0395,-34.8504,7,-36.83,-73.03,35.49,-999.0,-999,41.88751422539834,46.852093992579476,239.814243000487,253.3845178215117,253.38451810282487,253.3845178215117,0,80.79229990262887
1751,5.0,24.0,8.5,Virquen,-72.1797,-36.1028,8,-36.83,-73.03,35.49,-999.0,-999,52.35143845336462,56.4023755851026,116.53065157174328,125.52704623588897,125.52704661694598,125.52704623588897,0,75.47943965988505
1751,5.0,24.0,8.5,Yumbel,-72.5639,-37.1046,8,-36.83,-73.03,35.49,-999.0,-999,48.80311264275577,53.12531098382448,62.537721310723775,53.28542080621282,53.28542101802406,53.28542080621282,0,70.13138317969275
1751,5.0,24.0,8.5,Puchacay,-72.6641,-36.8297,8,-36.83,-73.03,35.49,-999.0,-999,44.27052532888513,48.994226970144275,48.21853307265923,49.243695056867956,49.24369518338022,49.243695056867956,0,64.5000349271863
1751,5.0,24.0,8.5,Concepción,-73.0492,-36.8205,8,-36.83,-73.03,35.49,223.0,-999,33.507515026431314,39.5386953091914,35.546950309231555,43.76545500410354,43.76545502328784,43.76545500410354,0,51.867716254339776
1751,5.0,24.0,8.5,Itata,-72.7038,-36.4933,8,-36.83,-73.03,35.49,-999.0,-999,40.9766877476926,46.0395895103166,59.212573427900566,70.20237801941587,70.20237808606335,70.20237801941587,0,60.934714207349174
1751,5.0,24.0,8.5,Rere,-72.7272,-37.135,8,-36.83,-73.03,35.49,-999.0,-999,43.786847307933485,48.557624125103516,55.96436597277224,46.53286165083422,46.53286173017857,46.53286165083422,0,64.37800121119481
1751,5.0,24.0,8.5,Laja,-72.3554,-37.4752,7,-36.83,-73.03,35.49,-999.0,-999,58.08142085508388,61.757641730007194,99.88942064347462,85.02353443819798,85.02353474929191,85.02353443819798,0,82.7890933824163
1751,5.0,24.0,8.5,Chillán,-72.1039,-36.6083,7,-36.83,-73.03,35.49,-999.0,-999,61.15212650944604,64.65398239964686,93.32727369898514,94.24394280050035,94.24394339770713,94.24394280050035,0,84.60082425525015
1751,5.0,24.0,8.5,Perquelauquen,-71.9597,-36.4284,7,-36.83,-73.03,35.49,-999.0,-999,64.13142167597174,67.47884194092138,111.3986294670175,114.27943466571773,114.27943534766563,114.27943466571773,0,88.76262842139504
1751,5.0,24.0,8.5,Talca,-71.6485,-35.4265,8,-36.83,-73.03,35.49,-999.0,-999,58.76482538002864,62.40079779499467,202.42441209726204,212.02695057915943,212.0269512484769,212.02695057915943,0,88.62747104199553
1751,5.0,24.0,8.5,Maule,-71.2445,-34.9834,7,-36.83,-73.03,35.49,-999.0,-999,67.03876224078964,70.24777936905676,263.08249319867406,272.54629050020117,272.54629141550765,272.54629050020117,0,113.81321143604573
1751,5.0,24.0,8.5,Cauquenes,-72.3283,-35.9663,8,-36.83,-73.03,35.49,388.0,-999,45.72900449254452,50.31596879108769,120.0310086219272,131.54192590586405,131.5419261437688,131.54192590586405,0,68.59454280640193
1751,5.0,24.0,8.5,Arauco,-73.3163,-37.2479,8,-36.83,-73.03,35.49,-999.0,-999,28.67428954051488,35.53547163271981,63.7119427709504,58.739409567688774,58.73940974715933,58.739409567688774,0,47.902975031181946
1835,2.0,20.0,8.5,Ancud,-73.821,-41.8704,5,-36.13,-73.35,35.49,-999.0,-999,319.6835726568997,320.3718799929011,639.5614384917028,332.83435274937494,623.3116165984748,486.20129311461244,0,407.4329518151532
