Longitud,Latitud,Frecuencia,Amplitud,MSK,Lugar,Rhf,Rhf_max,Rhf_pond
-71.89,-34.66,9.51855,5.16,6.5,Paredones,37.58028463711622,41.51521797646701,73.21329437079525
-71.22,-34.67,3.73406,4.101,6.5,Nancagua,69.90515439797278,75.2029908933803,111.49021889785358
-71.45,-35.38,8.00158,3.204,6.5,Pelarco,98.89773837185042,112.37675164333464,112.97498402590895
-71.48,-35.55,0.16668,1.912,6.5,SanClemente,108.24781459560059,128.24253508853369,121.04651655653018
-71.74,-35.6,0.17,1.61,6.5,SanJavier,94.95474318856259,128.50446696076236,113.9757571429797
-71.74,-35.67,8.53502,4.565,6.5,VillaAlegre,90.6192893516515,135.90126279227314,118.63220720105787
-71.59,-35.85,0.35005,2.612,6.5,Linares,92.14449017025584,156.96264183216155,136.43348671479498
-71.68,-35.97,0.38339,3.874,6.5,Longavi,82.47847968413122,168.54268990874732,142.3218658641382
-72.7,-36.49,2.86722,7.247,6.5,Coelemu,50.06256199107284,235.42190135001795,183.31470626646598
-72.19,-36.5,6.44,8.99,6.5,SanNicolas,68.62896832463858,226.5815149713176,179.90229204648952
-72.1,-36.61,0.21,3.13,6.5,Chillan,79.44697922684985,237.78579977574964,191.57470796353672
-72.6,-36.64,5.73446,3.814,6.5,Nipas,63.998145546755985,248.6132772780643,196.469766400844
-72.4,-37.03,1.1002,7.921,6.5,Cabrero,105.61217304473249,286.7966874073235,235.44381170111288
-73.28,-37.26,0.46674,5.052,6.5,Arauco,130.63456841840053,332.7338552482075,277.71071086318614
-72.35,-37.47,8.83508,2.509,6.5,LosAngeles,151.21088073181025,334.1484287794809,282.7696247535993
-72.7,-37.8,3.38399,9.355,6.5,Angol,181.6546401319357,375.06075936100336,321.6246312127964
-70.67,-34.04,0.46674,1.951,6.0,Codegua,123.0126223145199,129.77550506055474,178.63544745587075
-70.82,-34.28,1.35025,1.624,6.0,Requinoa,102.06269452432322,108.9358191912753,154.68534834627445
-71.31,-34.29,6.58463,5.444,6.0,LasCabras,65.3631441226167,69.95513177143467,119.02781305597895
-71.05,-34.7,0.13,1.613,6.0,Chimbarongo,83.21534920879787,89.3266715242215,124.0748868631335
-71.12,-34.96,0.059,1.43,6.0,Romeral,90.45549433285362,95.47257896671853,119.28080897216866
-71.57,-35.75,0.33338,3.256,6.0,YerbasBuenas,97.48407791718587,146.77894354912357,130.12318835904793
-72.67,-36.43,0.86682,5.296,6.0,Trehuaco,46.66675698389298,228.3501217879178,176.80629357990549
-72.03,-36.8,0.35005,2.017,6.0,SanIgnacio,97.56023744467271,258.2026234211082,211.74220549770058
-72.23,-36.96,1.70032,4.396,6.0,GeneralCruz,105.38128860115992,277.12572769317546,227.54973211126466
-72.08,-36.98,5.30104,1.89,6.0,Pemuco,112.87665962930053,278.18926840858046,230.2446962928918
-72.44,-37.08,1.08353,7.055,6.0,MonteAguila,109.37525673601098,292.8087910035673,241.06398333521608
-72.55,-37.1,1.63364,6.005,6.0,Yumbel,108.9249046364438,296.78463434345866,244.21831838803374
-72.02,-37.12,4.05079,8.433,6.0,Yungay,127.87354058429085,293.31510307984485,245.57252303915826
-72.7,-37.27,3.63404,5.902,6.0,Laja,124.77688695768154,317.9424944962262,264.4413222846376
-73.35,-37.47,2.45047,4.494,6.0,Curanilahue,153.81927102701766,356.507782476581,301.2946398811112
-72.68,-37.5,3.21729,3.913,6.0,Nacimiento,149.39111749216994,342.2834028592377,288.88323078981614
-73.67,-37.6,2.83388,5.578,6.0,Lebu,177.59667274802175,380.98173623620386,325.65343626006234
-73.46,-37.62,2.80054,4.895,6.0,LosAlamos,172.28571616211352,375.4997292396371,320.1532676730523
-73.41,-37.63,2.75053,2.829,6.0,TresPinos,171.83942508718746,374.8629151218246,319.5413631565868
-72.58,-37.67,2.66718,3.272,5.5,Renaico,168.4854481020002,358.9998679301588,306.13211350504247
-73.4,-37.8,1.78367,4.4,5.5,Canete,189.13219777827294,392.0455567642243,336.70128232272043
-72.83,-37.98,4.06746,1.889,5.5,LosSauces,201.04868446080317,396.8687224823997,342.95608008801173
-73.23,-38.01,3.65071,4.626,5.5,Contulmo,207.84791955007736,409.12140495657655,354.0734064552332
-73.08,-38.02,0.11,1.98,5.5,Puren,206.89741047826047,406.45572117466736,351.7607436804575
