"","MSK64","Rhyp","Rasp","Rasp_max","Rasp_pond","Rhf","Rhf_max","Rhf_pond","f0","residuals_Rasp_max","residuals_Rhf_max","residuals_Rhf","residuals_Rhf_pond","logf0_1","logf0_5","residuals_Rasp_max_f0","residuals_Rhf_max_f0","residuals_Rhf_f0","residuals_Rhf_pond_f0"
"35",7,166.238446959328,79.4642622122107,79.4642630473706,154.657030429703,52.0232961037082,65.6585015818288,79.2814549893237,2.86722,-0.575649827617784,-0.217541311827501,-0.306742100499428,-0.482266240181012,0,0,-0.763145341745721,-0.363504513607702,-0.426212095671442,-0.679176294835076
"36",7,196.487110458599,127.609848046031,127.609849428227,191.57481985208,89.1486249780537,95.9457219304884,111.569179701145,0.25003,-0.038235760728238,-0.003828497745305,0.280014343097336,-0.123652382388082,-0.602007879116804,0,0.164105473178893,0.239779994224633,0.425942505709626,0.118155312507533
"37",7,188.598119399304,132.186218586458,132.186219929214,189.481056439102,102.6403841476,110.506669073219,118.419127042874,3.54,0.00173998078862489,0.075778509975871,0.433537393548927,-0.0611066719737858,0,0,-0.151062576440449,-0.0550338188819345,0.331188288709946,-0.227340089812695
"38",7,142.486439739493,89.9058193299397,89.9058200552255,148.781026704733,72.9553359556641,100.79398979862,95.9346406924958,2.9339,-0.435580620002817,0.0239457580186352,0.0616392465387904,-0.282130909255486,0,0,-0.614659956858667,-0.109543892246547,-0.0493109710437006,-0.464463403943817
"39",7,151.561798967974,119.176442274965,119.176443156334,165.72145732558,102.182723277948,125.816874528344,116.654963455672,2.13,-0.115809393481075,0.148882763308441,0.428669104641502,-0.0768620862853944,0,0,-0.275675004674129,0.0218464944711238,0.326207407948819,-0.244243105079369
"40",7,93.4893119804249,81.174204700381,81.1742048599172,125.214218151965,75.4636483917374,131.035453325407,105.879253576028,2.90056,-0.551494597269543,0.171780282258907,0.0984643790508843,-0.17859850868774,0,0,-0.737538723871838,0.0459267408544775,-0.0116341614821843,-0.353389857239139
"41",7,67.4245520333323,89.3303264429925,89.3303264588038,120.450424537794,59.2593022332909,152.390807410431,118.076117027693,1.91703,-0.442866455989201,0.256845201554757,-0.164870437255392,-0.0641515666790539,0,0,-0.622383568486685,0.135385525435262,-0.281059280906535,-0.230606770121485
"42",7,126.683092526861,144.753845309479,144.753845787538,163.408179457334,75.2705899830426,174.245323176062,144.361316836878,0.38339,0.104785436459293,0.332352026354612,0.0956738417084924,0.146823757481656,-0.416359219056958,0,0.205459383411889,0.476592419090545,0.159679351333706,0.281094908211151
"43",7,43.8935196471115,120.719579457826,132.598238625655,128.015149074181,38.1273483054535,201.282086514694,153.165152134454,6.80134,0.00527090002757301,0.413621053519452,-0.645278691544853,0.208962246222157,0,0.832594485834712,0.32691016032497,0.600123971808934,-0.365171867509519,0.482364532802781
"44",7,67.552464599676,121.704609318315,148.693344948944,138.280402683439,44.4290078773547,209.512437495187,160.394806337292,2.91723,0.135250364004064,0.436200419803444,-0.478645764405746,0.257375189732387,0,0,-0.00953010848605713,0.324004993549326,-0.602091479290718,0.114339517216854
